seg_a,seg_b,dist_m
0,1,18.75
0,2,26.74
0,3,30.44
0,4,38.79
0,5,50.28
0,6,62.46
0,7,75.54
0,8,88.9
1,2,9.92
1,3,22.49
1,4,36.32
1,5,50.89
1,6,65.13
1,7,79.76
1,8,94.34
2,3,16.3
2,4,31.26
2,5,46.37
2,6,61.07
2,7,76.09
2,8,91.04
3,4,15.0
3,5,30.14
3,6,44.89
3,7,59.98
3,8,75.01
3,9,89.58
4,5,15.14
4,6,29.9
4,7,45.02
4,8,60.1
4,9,74.69
4,10,89.95
5,6,14.79
5,7,29.94
5,8,45.07
5,9,59.69
5,10,74.97
5,11,90.48
6,7,15.17
6,8,30.31
6,9,44.95
6,10,60.25
6,11,75.77
6,12,89.18
7,8,15.16
7,9,29.8
7,10,45.11
7,11,60.63
7,12,74.03
7,13,89.69
8,9,14.64
8,10,29.95
8,11,45.47
8,12,58.87
8,13,74.56
8,14,87.85
9,10,15.31
9,11,30.83
9,12,44.23
9,13,59.96
9,14,73.3
9,15,88.41
10,11,15.52
10,12,28.95
10,13,44.76
10,14,58.2
10,15,73.44
10,16,87.88
11,12,13.51
11,13,29.46
11,14,43.03
11,15,58.44
11,16,73.19
11,17,87.45
12,13,15.99
12,14,29.6
12,15,45.1
12,16,60.02
12,17,74.38
12,18,89.5
13,14,13.63
13,15,29.18
13,16,44.27
13,17,58.7
13,18,73.86
13,19,89.07
13,20,97.51
14,15,15.57
14,16,30.8
14,17,45.27
14,18,60.43
14,19,75.65
14,20,84.4
14,21,90.15
15,16,15.39
15,17,29.85
15,18,44.98
15,19,60.2
15,20,69.28
15,21,75.86
15,22,88.78
16,17,14.48
16,18,29.63
16,19,44.85
16,20,53.92
16,21,61.04
16,22,74.12
16,23,87.17
16,24,96.9
17,18,15.16
17,19,30.38
17,20,39.66
17,21,47.86
17,22,61.12
17,23,74.47
17,24,85.39
17,25,94.94
18,19,15.22
18,20,25.19
18,21,35.54
18,22,48.76
18,23,62.37
18,24,74.87
18,25,85.62
18,26,99.04
19,20,12.26
19,21,26.14
19,22,38.25
19,23,51.68
19,24,65.95
19,25,77.93
19,26,92.4
20,21,14.82
20,22,26.11
20,23,39.45
20,24,54.01
20,25,66.3
20,26,81.06
20,27,95.06
21,22,13.3
21,23,26.84
21,24,39.95
21,25,51.79
21,26,66.36
21,27,80.29
21,28,91.94
21,29,95.16
22,23,13.62
22,24,28.08
22,25,40.87
22,26,56.13
22,27,70.4
22,28,81.63
22,29,83.54
22,30,91.69
23,24,16.53
23,25,30.04
23,26,45.65
23,27,60.04
23,28,70.65
23,29,71.14
23,30,78.63
23,31,91.6
24,25,13.54
24,26,29.15
24,27,43.52
24,28,54.17
24,29,55.47
24,30,64.04
24,31,76.76
24,32,89.5
25,26,15.61
25,27,29.99
25,28,40.82
25,29,43.56
25,30,53.55
25,31,65.75
25,32,77.58
25,33,89.25
25,34,98.26
26,27,14.39
26,28,25.59
26,29,31.27
26,30,43.31
26,31,54.24
26,32,64.43
26,33,75.18
26,34,83.75
27,28,12.1
27,29,23.12
27,30,36.74
27,31,45.31
27,32,53.06
27,33,62.52
27,34,70.52
28,29,15.74
28,30,29.0
28,31,35.15
28,32,41.33
28,33,50.43
28,34,58.47
29,30,13.72
29,31,23.0
29,32,34.07
29,33,46.47
29,34,56.18
30,31,13.13
30,32,28.13
30,33,42.35
30,34,52.86
31,32,15.76
31,33,30.25
31,34,40.89
32,33,14.5
32,34,25.14
33,34,10.64
