video,total_frames,mean_reliability,retention_pct,mean_uncertainty,total_detections,mean_severity,high_risk_frames,total_segments,urgent,schedule,monitor,mean_priority_score,reinspection_flags
1,2081,0.5237,99.66,0.002667,59,0.009444,10,14,0,0,14,0.014287,0
10,3404,0.9462,100.0,0.034252,993,0.06766,109,33,0,6,27,0.128493,8
11,4523,0.9327,100.0,0.049502,1160,0.043143,21,44,0,5,39,0.084524,5
12,4501,0.8429,99.4,0.042134,1862,0.081852,138,42,0,6,36,0.116496,5
13,874,0.673,99.77,0.01273,236,0.096361,15,6,0,2,4,0.186642,2
14,4162,0.6239,99.83,0.02265,605,0.015501,1,38,0,0,38,0.034385,1
15,1313,0.8965,100.0,0.025974,311,0.035028,0,10,0,0,10,0.053329,0
16,1956,0.8664,100.0,0.053553,488,0.034447,16,19,0,2,17,0.081516,3
17,3660,0.866,100.0,0.016756,260,0.015145,1,37,0,1,36,0.032795,1
18,2541,0.6052,100.0,0.09358,4122,0.215269,87,18,0,11,7,0.310732,11
19,1510,0.6436,99.87,0.019791,127,0.019323,5,14,0,0,14,0.048163,1
2,1943,0.6148,100.0,0.001959,82,0.007101,0,13,0,0,13,0.018439,0
20,7225,0.8696,100.0,0.025257,627,0.022007,87,93,0,5,88,0.038507,6
21,4120,0.9304,100.0,0.027509,555,0.031529,2,51,0,5,46,0.065974,6
22,3176,0.9782,100.0,0.036102,319,0.017983,1,44,0,1,43,0.033532,1
23,3990,0.8049,100.0,0.020979,628,0.032032,4,35,0,1,34,0.059548,2
24,6652,0.5385,100.0,0.003592,318,0.010071,0,55,0,2,53,0.027543,2
25,2244,0.9431,100.0,0.012904,219,0.034409,15,30,0,4,26,0.094338,5
26,2021,0.7894,100.0,0.037133,718,0.064132,0,21,0,4,17,0.115669,4
27,4427,0.8916,100.0,0.033854,896,0.032441,0,44,0,3,41,0.079308,5
28,1655,0.7187,100.0,0.042438,621,0.090617,134,19,0,5,14,0.146353,6
29,2865,0.6315,98.81,0.010387,515,0.054404,113,41,0,8,33,0.117656,12
3,2322,0.5261,98.23,0.047504,487,0.042417,5,18,0,3,15,0.082165,3
30,1542,0.7592,99.22,0.023332,476,0.096256,154,16,0,6,10,0.208828,7
31,2913,0.8579,100.0,0.031467,642,0.052389,115,52,0,9,43,0.112241,12
32,2081,0.6901,99.9,0.062804,1338,0.10016,27,29,0,9,20,0.182955,10
4,3315,0.5405,96.14,0.018499,598,0.04925,100,27,0,5,22,0.093707,5
5,10082,0.9413,100.0,0.011499,935,0.019148,0,133,0,5,128,0.039556,6
6,2797,0.9349,99.89,0.009684,200,0.021166,13,33,0,2,31,0.051832,2
7,2589,0.7773,100.0,0.044048,1060,0.085445,133,22,0,7,15,0.192189,9
8,1686,0.8358,100.0,0.059032,1132,0.187445,166,14,0,8,6,0.301306,8
9,1463,0.78,100.0,0.039025,296,0.027405,0,11,0,0,11,0.040581,0
